username,likes,comments,text,hashtags,date,day_of_week,hour,word_count,hashtag_count
editorarocco,277,3,"hoje é o dia mundial da água e o que seu prato de comida tem a ver com isso? jonathan safran foer te explica tudo no livro ""nós somos o clima"". confira.",livros criseclimatica nossomosoclima editorarocco,2024-03-22,Friday,12,36,4
editorarocco,215,0,"um pouquinho do que você vai encontrar em ""apenas uma mulher latino-americana""! bruna ramos da fonte colocou todo o seu coração nessa obra e é possível sentir isso em casa frase. um livro imperdível pra quem ama música, política, viagem e revolução.",livros lançamento apenasumamulherlatinoamericana editorarocco,2024-03-21,Thursday,22,46,4
editorarocco,4683,129,"fãs de anne rice, vocês estão preparados? as séries “entrevista com o vampiro” e “as bruxas mayfair” já têm data para chegar ao brasil! 👀 as duas adaptações vão fazer parte do catálogo do prime video. confira o calendário: ""entrevista com o vampiro"" estreia 29/05 ""as bruxas mayfair"" [correção] estreia 19/06 quem aí já está ansioso para fazer essa maratona no universo da escritora rainha dos góticos? ❤️",entrevistacomovampiro ahoradasbruxas annerice editorarocco,2024-03-21,Thursday,18,72,4
editorarocco,13309,96,"imagina, nem é tão grande assim a minha lista de livros... 😂😂😂",livros meme editorarocco,2024-03-21,Thursday,12,15,3
editorarocco,584,14,"vamos conhecer os lançamentos de março? 📖 aconteceu em indigo ridge — devney perry as mortes na montanha indigo ridge são suicídios ou assassinatos? mistério e romance hot se encontram no livro de devney perry, autora sensação do tiktok. 📖 boas meninas se afogam em silêncio — andressa tabaczinski um thriller policial com cenário brasileiro, representatividade lgbtqia+ e forte crítica social! 📖 questões incendiárias — margaret atwood escritos da autora margaret atwood sobre temas variados como literatura, feminismo, direitos humanos, política, meio ambiente etc. 📖 enfezado nunca mais — thaís araújo manual prático e de linguagem acessível para ter um intestino livre elaborado pela psiconutri thaís araújo, especialista com mais de 20 anos de experiência clínica. 📖 diário de um filme: a paixão segundo g. h. — melina dalboni um relato inédito na bibliografia brasileira sobre cinema por apresentar uma imersão completa nos processos criativos e técnicos da produção do filme ""a paixão segundo g.h."". 📖 apenas uma mulher latino-americana: em busca da voz revolucionária — bruna ramos da fonte o novo livro da autora de essa tal de bossa nova é uma obra essencial para os apaixonados por música, política e história! 📖 para sempre — judy blume uma história sobre descobertas, primeiras vezes e o verdadeiro significado de “para sempre”. mais um romance da autora consagrada judy blume! 📖 sete santos sem rosto — m. k. lobb universo fantástico que mistura mistério, romance e crítica social. primeiro volume da duologia “sete santos sem rosto”. 📖 tudo se ilumina — jonathan safran foer nova edição revista e com capa nova do clássico de jonathan safran foer.",editorarocco,2024-03-20,Wednesday,21,268,1
editorarocco,1837,73,✨️ chamando todos os alunos para dar início à semana do orgulho das casas de hogwarts! a qual delas você pertence? 🟡 orgulho lufa-lufa (20/03) dedicação • paciência • lealdade animal: texugo elemento: terra fantasma: o frei gorducho cores: amarelo e preto relíquia: a taça de helga hufflepuff 🟢 orgulho sonserina (21/03) orgulho • ambição • astúcia animal: serpente elemento: água fantasma: o barão sangrento cores: verde e prata relíquia: o medalhão de salazar slytherin 🔴 orgulho grifinória (22/03) coragem • bravura • determinação animal: leão elemento: fogo fantasma: nick quase sem cabeça cores: vermelho e dourado relíquia: a espada de gryffindor 🔵 orgulho corvinal (23/03) inteligência • aprendizado • sabedoria animal: águia elemento: ar fantasma: a mulher cinzenta cores: azul e bronze relíquia: o diadema de ravenclaw,harrypotter grifinoria sonserina corvinal lufalufa editorarocco,2024-03-20,Wednesday,15,134,6
editorarocco,230,7,"uma edição novinha em folha de ""tudo se ilumina"", um romance espetacular que jonathan safran foer escreveu aos 24 anos e que carimbou seu nome de vez na lista dos autores mais prestigiados do mundo! com uma velha fotografia nas mãos, um rapaz americano viaja até a ucrânia para encontrar a mulher que pode ter salvado seu avô dos nazistas. acompanhado por alex, um jovem que tenta servir de tradutor e acaba demonstrando uma incrível sensibilidade e uma total incompetência na língua inglesa, um velho assombrado pelas lembranças da guerra e uma cadela vira-lata chamada sammy davis, junior, junior, o rapaz é levado em uma excursão quixotesca por um país devastado, encontrando um passado tão impressionante quanto fantástico. imperdível!",tudoseilumina livros literatura editorarocco novaediçao,2024-03-19,Tuesday,23,124,5
editorarocco,314,9,"um pouquinho do que você vai encontrar em ""questões incendiárias"", novo livro de margaret atwood! confira!",lançamentos questoesincendiarias livros editorarocco,2024-03-18,Monday,22,20,4
editorarocco,495,2,"em sono, nick littlehales derruba o mito das 8 horas de sono diárias e explica como funciona o r90, o clico de 90 minutos que vai fazer modificar totalmente seu modo de dormir. aproveita que hoje é o dia mundial do sono e conheça o livro! ⠀",sono insonia livros literatura rocco,2024-03-17,Sunday,12,52,5
editorarocco,1281,16,"afinal, não existe lugar mais seguro do que hogwarts 😂",hogwarts harrypotter meme,2024-03-17,Sunday,0,13,3
editorarocco,990,34,escreva aqui nos comentários a sua maior confissão como leitor!,leitor editorarocco livros,2024-03-16,Saturday,22,13,3
editorarocco,355,10,"abrindo o final de semana falando do que a gente mais gosta: intestino! nesta colaboração com a editora rocco, trago um pouquinho do meu livro, “enfezado nunca mais”, mas deixo um gostinho de quero mais pra vcs conferirem no livro. o livro está com pré-venda disponível em todas as livrarias e a caravana do cocô começa em abril por todo o brasil 🇧🇷 seguem as datas das primeiras cidades: rio de janeiro 09/04 são paulo 17/04 brasília 24/04 fortaleza 08/05 salvador 15/05 louca pra encontrar vocês, mas por enquanto deixa sua dúvida sobre saúde intestinal que terei prazer em responder!",colanapsiconutri livro enfezadonuncamais caravanadococo,2024-03-15,Friday,20,104,4
editorarocco,601,66,"📖 entre nos bastidores do filme que levou o clássico de clarice lispector para as telas. o livro “diário de um filme: a paixão segundo g. h.” é essencial para fãs de cinema e de clarice lispector: uma experiência que revela e reflete a busca incansável pela linguagem cinematográfica. garanta o seu agora em pré-venda! 🎬 um relato inédito na bibliografia brasileira sobre cinema por apresentar uma imersão completa nos processos criativos e técnicos da produção do filme ""a paixão segundo g.h."", que estreia dia 11 de abril. 🎞️ em primeira pessoa, a roteirista melina dalboni revela a jornada emocional de todos os envolvidos no projeto — da equipe ao elenco —, conduzindo o leitor a um mergulho íntimo e radical em um percurso artístico que marca o encontro da literatura de clarice e o cinema de luiz fernando carvalho. 🎦 essa obra única conta também com fotos das filmagens, reproduções dos cadernos do diretor luiz fernando carvalho, imagens da preparação da atriz maria fernando candido, além de transcrições das oficinas teóricas realizadas por grandes especialistas em clarice, o que torna o conjunto de palestras e escritos inéditos incontornáveis para os estudiosos e admiradores da obra clariceana.",diariodeumfilme claricelispector apaixaosegundogh luizfernandocarvalho mariafernandacandido editorarocco,2024-03-14,Thursday,23,203,6
editorarocco,274,12,"nesse primeiro episódio do roccocast, batemos um papo com a ana lima, gerente editorial da rocco, e beatriz d'oliveira, editora de aquisição, sobre as maiores tendências de leitura para 2024. além de contarmos para os ouvintes o que eles podem esperar dos lançamentos da rocco esse ano! já vou adiantando que está hot hot hot! aproveite! link nos stories!",podcast videocast livros literatura roccocast editorarocco,2024-03-14,Thursday,18,65,6
editorarocco,325,38,📚 hoje é o dia do livreiro e o prêmio vai para…,diadolivreiro livreiro editorarocco,2024-03-14,Thursday,15,15,3
editorarocco,670,32,"eu não consigo parar de admirar essa capa! 🤩😍 você está pronto para o desfecho da saga de zélie? “children of anguish and anarchy”, o terceiro e último livro da trilogia o legado de orïsha, tem previsão de lançamento no brasil em agosto! 👀",filhosdesangueeosso editorarocco,2024-03-14,Thursday,12,46,2
editorarocco,265,5,"uma mulher latino-americana está em pré-venda, mas você já pode ir entrando no clima do livro ouvindo a playlist perfeita que a bruna ramos da fonte preparou com muito carinho para os leitores! são mais de 17 horas de preciosidades latinas! link nos stories!",apenasumalatinoamericana musicas playlist editorarocco,2024-03-13,Wednesday,22,48,4
editorarocco,462,9,"“o clube do livro do bunker” é uma leitura repleta de momentos e diálogos marcantes. sem dúvida esses 5 trechos lindos vão fazer você querer mergulhar nessa história sobre luto, resiliência e amor aos livros 📚❤️",oclubedolivrodobunker segundaguerramundial editorarocco,2024-03-13,Wednesday,12,39,3
editorarocco,756,25,"imperdível! em outubro chega, em lançamento mundial, o livro de memórias de al pacino, sonny boy (ainda sem título definido em português). em sonny boy, a estrela de clássicos como o poderoso chefão e scarface revive a sua infância no bronx, bem como suas primeiras inclinações artísticas. depois que um professor viu sua promessa como ator e o levou à high school of performing arts em nova york, pacino encontrou uma paixão pelo ofício. o livro também detalha a lendária carreira de pacino passo a passo, desde seus dias no teatro até seus papéis e colaborações mais famosos. ""escrevi sonny boy para expressar o que vi e passei na minha vida"", diz al pacino em entrevista exclusiva para o site da people. ""foi uma experiência incrivelmente pessoal e reveladora refletir sobre essa jornada e o que a atuação me permitiu fazer e os mundos que ela abriu."" já estamos ansiosos por essa preciosidade!",lançamento livros alpacino cinema editorarocco,2024-03-12,Tuesday,22,158,5
editorarocco,315,3,"📚já atualizou sua listinha para ir às compras? 🛍️eu sei que vocês amam uma promoção, e já viram que tá rolando a semana da consumidor? 👀coloquei algumas aqui nos stories. vem aproveitar!",ofertas semanadoconsumidor editorarocco,2024-03-12,Tuesday,17,35,3
editorarocco,367,19,post de apreciação desse box que é puro luxo: a trilogia das almas completa ♥ tem fã dessa saga incrível aí? ⚠️ agora você também pode comprar os seus livros no novo site da rocco. cadastre-se e receba nossas novidades e ofertas. link na bio!,adescobertadasbruxas trilogiadasalmas editorarocco,2024-03-12,Tuesday,11,48,3
